pdf,pagenum,retention_time_units
474,100,years
474,101,years
474,102,years
474,103,days
474,104,years
474,105,years
474,106,days
474,107,years
474,108,days
474,109,years
474,110,days
474,111,days
474,112,years
474,113,years
474,114,days
474,115,years
474,116,days
474,117,years
474,118,years
474,119,years
474,11,days
474,120,days
474,121,days
474,122,years
474,123,years
474,124,years
474,125,years
474,126,days
474,127,years
474,128,days
474,129,days
474,12,days
474,130,years
474,131,years
474,132,years
474,133,days
474,134,years
474,135,NA
474,136,days
474,137,days
474,138,years
474,139,years
474,13,years
474,140,days
474,141,days
474,142,NA
474,143,years
474,144,years
474,145,days
474,146,years
474,147,years
474,148,years
474,149,years
474,14,days
474,150,years
474,151,years
474,152,years
474,153,days
474,154,days
474,155,days
474,156,years
474,157,years
474,158,days
474,159,years
474,15,days
474,160,days
474,161,days
474,162,days
474,163,years
474,164,days
474,165,days
474,166,days
474,167,years
474,168,days
474,169,days
474,16,days
474,170,days
474,171,years
474,172,days
474,173,days
474,174,days
474,175,days
474,176,years
474,177,days
474,178,years
474,179,days
474,17,days
474,180,days
474,181,years
474,182,days
474,183,days
474,184,years
474,185,days
474,186,years
474,187,days
474,188,days
474,189,days
474,18,days
474,190,days
474,191,days
474,192,days
474,193,days
474,194,days
474,195,days
474,196,years
474,197,days
474,198,days
474,199,years
474,19,days
474,200,years
474,201,years
474,202,days
474,203,years
474,204,days
474,205,years
474,206,days
474,207,years
474,208,days
474,209,years
474,20,years
474,210,years
474,211,days
474,212,days
474,21,days
474,22,years
474,23,years
474,24,years
474,25,days
474,26,years
474,27,days
474,28,days
474,29,days
474,30,days
474,31,days
474,32,days
474,33,days
474,34,days
474,35,days
474,36,days
474,37,years
474,38,years
474,39,years
474,40,days
474,41,days
474,42,days
474,43,years
474,44,years
474,45,years
474,46,years
474,47,years
474,48,years
474,49,days
474,50,years
474,51,days
474,52,days
474,53,days
474,54,years
474,55,days
474,56,years
474,57,years
474,58,years
474,59,days
474,60,days
474,61,days
474,62,days
474,63,days
474,64,days
474,65,days
474,66,years
474,67,years
474,68,years
474,69,years
474,70,days
474,71,years
474,72,days
474,73,years
474,74,days
474,75,years
474,76,days
474,77,days
474,78,days
474,79,days
474,80,days
474,81,years
474,82,years
474,83,years
474,84,years
474,85,days
474,86,days
474,87,years
474,88,years
474,89,years
474,90,years
474,91,years
474,92,days
474,93,days
474,94,days
474,95,days
474,96,days
474,97,years
474,98,years
474,99,years
475,100,days
475,101,years
475,102,years
475,103,days
475,104,days
475,105,days
475,106,days
475,107,years
475,108,days
475,109,days
475,110,days
475,111,years
475,112,days
475,113,years
475,114,days
475,115,days
475,116,years
475,117,years
475,118,days
475,119,days
475,11,days
475,120,days
475,121,days
475,122,years
475,123,days
475,124,days
475,125,days
475,126,years
475,127,years
475,128,days
475,129,days
475,12,days
475,130,days
475,131,years
475,132,years
475,133,days
475,134,days
475,135,days
475,136,days
475,137,days
475,138,days
475,139,days
475,13,days
475,140,NA
475,141,years
475,142,days
475,143,days
475,144,NA
475,145,years
475,146,days
475,147,days
475,148,days
475,149,days
475,14,days
475,150,years
475,151,years
475,152,days
475,153,years
475,154,days
475,155,days
475,156,days
475,157,days
475,158,days
475,159,days
475,15,NA
475,160,days
475,161,days
475,162,days
475,163,days
475,164,days
475,165,days
475,166,days
475,167,days
475,168,days
475,169,days
475,16,days
475,170,days
475,171,days
475,172,days
475,173,days
475,174,days
475,175,days
475,176,days
475,177,days
475,178,days
475,179,days
475,17,days
475,180,days
475,181,days
475,182,days
475,183,days
475,184,days
475,185,days
475,186,days
475,187,days
475,188,days
475,189,days
475,18,days
475,190,days
475,191,days
475,192,days
475,193,days
475,194,days
475,195,days
475,196,days
475,197,days
475,198,days
475,199,days
475,19,days
475,200,days
475,201,years
475,202,days
475,203,days
475,204,NA
475,205,days
475,206,days
475,207,days
475,208,days
475,209,days
475,20,NA
475,210,days
475,211,days
475,212,years
475,213,days
475,214,days
475,215,days
475,216,days
475,217,years
475,218,days
475,219,days
475,21,days
475,220,days
475,221,years
475,222,days
475,223,days
475,224,days
475,225,NA
475,226,years
475,227,days
475,228,days
475,229,days
475,22,days
475,230,days
475,231,days
475,232,years
475,233,days
475,234,days
475,235,days
475,236,NA
475,237,days
475,238,days
475,239,days
475,23,days
475,240,days
475,241,NA
475,242,days
475,243,days
475,244,days
475,245,NA
475,246,days
475,247,NA
475,248,days
475,249,NA
475,24,days
475,250,days
475,251,NA
475,252,days
475,253,days
475,254,years
475,255,days
475,256,days
475,257,days
475,258,days
475,259,days
475,25,days
475,260,days
475,261,days
475,262,days
475,263,days
475,264,years
475,265,days
475,266,days
475,267,days
475,268,days
475,26,days
475,27,days
475,28,days
475,29,days
475,30,days
475,31,years
475,32,days
475,33,years
475,34,days
475,35,days
475,36,years
475,37,years
475,38,days
475,39,years
475,40,years
475,41,days
475,42,years
475,43,years
475,44,days
475,45,days
475,46,days
475,47,days
475,48,days
475,49,days
475,50,days
475,51,days
475,52,days
475,53,days
475,54,days
475,55,days
475,56,years
475,57,days
475,58,years
475,59,days
475,60,years
475,61,days
475,62,days
475,63,days
475,64,days
475,65,days
475,66,years
475,67,days
475,68,days
475,69,days
475,70,days
475,71,days
475,72,days
475,73,NA
475,74,days
475,75,days
475,76,days
475,77,days
475,78,years
475,79,days
475,80,years
475,81,days
475,82,days
475,83,years
475,84,days
475,85,months
475,86,days
475,87,days
475,88,years
475,89,days
475,90,days
475,91,years
475,92,years
475,93,years
475,94,days
475,95,days
475,96,days
475,97,days
475,98,days
475,99,years
476,100,years
476,101,years
476,102,days
476,103,years
476,104,years
476,105,years
476,106,NA
476,107,years
476,108,days
476,109,days
476,110,years
476,111,years
476,112,years
476,113,days
476,114,years
476,115,years
476,116,years
476,117,days
476,118,days
476,119,NA
476,11,years
476,120,years
476,121,days
476,122,NA
476,123,days
476,124,days
476,125,years
476,126,days
476,127,years
476,128,days
476,129,years
476,12,days
476,130,years
476,131,years
476,132,years
476,133,years
476,134,years
476,135,years
476,136,years
476,137,years
476,138,years
476,139,years
476,13,NA
476,140,years
476,141,years
476,142,years
476,143,years
476,144,years
476,145,years
476,146,years
476,147,years
476,148,years
476,149,years
476,14,days
476,150,years
476,151,years
476,152,days
476,153,years
476,154,days
476,155,years
476,156,years
476,157,years
476,158,years
476,159,years
476,15,days
476,160,years
476,161,years
476,162,years
476,163,years
476,164,days
476,165,NA
476,166,years
476,167,years
476,168,years
476,169,days
476,16,days
476,170,days
476,171,days
476,172,years
476,173,days
476,174,years
476,175,days
476,176,days
476,177,NA
476,178,years
476,179,years
476,17,days
476,180,NA
476,181,days
476,182,years
476,183,years
476,184,years
476,185,years
476,186,years
476,187,years
476,188,NA
476,189,years
476,18,days
476,190,years
476,191,years
476,192,years
476,193,years
476,194,days
476,195,years
476,196,years
476,197,years
476,198,years
476,199,years
476,19,days
476,200,days
476,201,NA
476,20,NA
476,21,years
476,22,NA
476,23,days
476,24,days
476,25,days
476,26,days
476,27,years
476,28,days
476,29,NA
476,30,days
476,31,days
476,32,NA
476,33,days
476,34,days
476,35,days
476,36,years
476,37,years
476,38,years
476,39,years
476,40,years
476,41,days
476,42,days
476,43,years
476,44,years
476,45,years
476,46,years
476,47,years
476,48,days
476,49,days
476,50,days
476,51,days
476,52,days
476,53,years
476,54,years
476,55,days
476,56,years
476,57,days
476,58,days
476,59,days
476,60,days
476,61,NA
476,62,years
476,63,days
476,64,days
476,65,days
476,66,years
476,67,years
476,68,days
476,69,years
476,70,days
476,71,years
476,72,days
476,73,days
476,74,days
476,75,years
476,76,days
476,77,years
476,78,days
476,79,years
476,80,days
476,81,days
476,82,days
476,83,years
476,84,years
476,85,days
476,86,years
476,87,years
476,88,days
476,89,years
476,90,days
476,91,years
476,92,years
476,93,years
476,94,years
476,95,days
476,96,years
476,97,years
476,98,years
476,99,years
477,100,years
477,101,years
477,102,years
477,103,years
477,104,days
477,105,days
477,106,years
477,107,days
477,108,NA
477,109,years
477,110,days
477,111,days
477,112,years
477,113,days
477,114,days
477,115,years
477,116,years
477,117,days
477,118,days
477,119,years
477,11,years
477,120,years
477,121,days
477,122,years
477,123,years
477,124,days
477,125,days
477,126,years
477,127,years
477,128,years
477,129,years
477,12,years
477,130,years
477,131,days
477,132,days
477,133,years
477,134,years
477,135,years
477,136,years
477,137,years
477,138,days
477,139,years
477,13,days
477,140,NA
477,141,years
477,142,years
477,143,days
477,144,years
477,145,years
477,146,years
477,147,days
477,148,days
477,149,years
477,14,days
477,150,days
477,151,years
477,152,years
477,153,days
477,154,years
477,155,days
477,156,days
477,157,days
477,158,NA
477,159,years
477,15,years
477,160,years
477,161,NA
477,162,years
477,163,days
477,164,years
477,165,years
477,166,days
477,167,years
477,168,days
477,169,days
477,16,days
477,170,days
477,17,years
477,18,years
477,19,days
477,20,years
477,21,years
477,22,days
477,23,days
477,24,days
477,25,years
477,26,years
477,27,years
477,28,years
477,29,days
477,30,years
477,31,years
477,32,days
477,33,years
477,34,years
477,35,days
477,36,days
477,37,years
477,38,days
477,39,years
477,40,days
477,41,days
477,42,years
477,43,days
477,44,days
477,45,days
477,46,days
477,47,years
477,48,days
477,49,years
477,50,years
477,51,days
477,52,days
477,53,days
477,54,years
477,55,years
477,56,years
477,57,years
477,58,days
477,59,days
477,60,years
477,61,NA
477,62,days
477,63,years
477,64,years
477,65,days
477,66,days
477,67,days
477,68,days
477,69,days
477,70,years
477,71,years
477,72,days
477,73,years
477,74,days
477,75,days
477,76,days
477,77,days
477,78,NA
477,79,years
477,80,years
477,81,years
477,82,days
477,83,days
477,84,years
477,85,days
477,86,days
477,87,years
477,88,days
477,89,years
477,90,years
477,91,years
477,92,NA
477,93,days
477,94,days
477,95,years
477,96,years
477,97,years
477,98,years
477,99,years
