"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"011","ARKANSAS","BEAVER RESERVOIR","BENTON CARROLL o IASHINGTON","501","IMPOUNDMENT","3087.3","114.2","17.8","42.45","1.5",NA,"94","2.1","0.022","0.006","0.33","0.61","45860",NA,"10","36160","82010","159785",NA,"385","1448335","1608505","18580","77","0.72","1110180","31","14.1"
"012","ARKANSAS","BULL SHOALS RESERVOIR","BAXTER BOONE MARION AR! TANEY OZARK MO","504","IMPOUNDMENT","15672.1","183.89","20.4","165.04","259","131","223","3.4","0.015","0.004","0.38","0.53","1475",NA,"35","101670","103180","4420",NA,"1225","6945940","6951585","64915","37","0.56","3777390","46","37.8"
"014","ARKANSAS","TABLE ROCK RESERVOIR","BOONE CARROLL AR, BARRY TANEY MO","515","IMPOUNDMENT","10411.8","174.42","19.1","114.8","330","97","175","2.3","0.022","0.007","0.35","0.6","214095",NA,"35","45290","259420","504120",NA,"1285","4360655","4866260","66555","74","1.49","6008260",NA,"27.9"
"015","MISSOURI","LAKE TANEYCOMO","TANEY","2904","IMPOUNDMENT","11297.6","12.22","5.8","123.81","7","96","155","2","0.023","0.007","0.53","0.72","5125",NA,"10","69010","76165","9555",NA,"615","6234120","6266090","87280",NA,"6.07","6038630","3","511"
"016","ARKANSAS","BLACKFISH LAKE","CRITTENDEN ST FRANCIS","502","NATURAL","288.8","1.62","1.8","287.1","8","33","88","0.1","0.424","0.09","1.47","2.425",NA,NA,"5","112130","112135",NA,NA,"275","390625","390900","92130","18","69.22","303920","22","241.3"
"017","ARKANSAS","0LUE MOUNTAIN LAME","LOGAN YELL","503","IMPOUNDMENT","1263.9","11.74","2.6","14.61","25","20","5","0.4","0.05","0.01","0.16","0.4","5065",NA,"5","11700","16050","4295",NA,"250",NA,"424500","31255",NA,"1.44","343495","19","36.2"
"018","ARKANSAS","LAKE CATHERINE","GARLAND HOT SPRING","505","IMPOUNDMENT","3926.4","7.05","5.5","65.66","0","17","62","1.2","0.029","0.006","0.1","0.43","42410",NA,"15","36410","70035","127190",NA,"620","1060970","1100700","49340","37","10.04","1735200",NA,"151.4"
"019","ARKANSAS","HAMILTON LAKE","GARLAND","510","IMPOUNDMENT","3732.2","26.28",NA,"62.76",NA,NA,"50",NA,NA,"0.006","0.13",NA,"36190",NA,"75","35640","71705","108165",NA,"2845","798955",NA,"344335","539","2.95","1008320",NA,"37.5"
"021","ARKANSAS","OUACHITA LAKE","GARLAND MONTGOMERY","514","IMPOUNDMENT","2861.9","162.28","16.3","43.6","1.9","22","69","2.8","0.015","0.006","0.155","0.335","590",NA,"10","27470","28070","1535",NA,"430","736865","736830","23445","16","0.17","565150","23","6.5"
"023","ARKANSAS",NA,"CHICOT","506","IMPOUNDMENT",NA,"21.45","2.7","13.62",NA,"85","189","0.4","0.162","0.089",NA,"1.2",NA,NA,"5","142530","142535",NA,NA,"250","872935","873185","115735","19","6.64","700900","20","40.7"
"024","ARKANSAS","DEGRAY RESERVOIR","CLARK HOT SPRING","507","IMPOUNDMENT","1173.3","54.23","14.9","19.76","677","24","69","2.1","0.019","0.004","0.13","0.42","1375",NA,"30","10345","11750","4120",NA,"1135","188135","193390","10270","13","0.22",NA,NA,"3.6"
"025","ARKANSAS","LAKE ERLING","LAFAYETTE","508","IMPOUNDMENT","1023","28.33","2.1","10.36","67","10","64","1.1",NA,"0.02","0.12","0.665","2615",NA,NA,"21630",NA,"7340",NA,NA,"300735","303515","16095",NA,"0.86","233290","24","10.9"
"026","ARKANSAS","GREER","VAN DUREN CLERURNE","516","IMPOUNDMENT","2986.3","163.9","21.4","49.66","20",NA,"30","3.3","0.012","0.004","0.14","0.32","4020","4444444444","25","35355","39400","21205","4444444444","975","904950","927210","20525","40","0.24","1227040",NA,"5.7"
"027","ARKANSAS","GRAND LAKE","CHICOT","509","NATURAL","5555555555","5.67",NA,"5555555555","555555","95","160","0.5","0.101","0.021","0.09","1.22","5555555555","5555555555","5555555555","5555555555","5555555555","5555555555","5555555555","5555555555","5555555555","5555555555","5555555555","55555","5555555555","5555555555","55555","5555555555"
"028","ARKANSAS","MILLHOOO RESERVOIR","HEMPSTEAD HOUARD LITTLE RIVER SEVIER",NA,"IMPOUNDMENT","10733","118.17","2.2","165.29","18","20","66","0.8","0.04","0.008","0.12","0.49","17590",NA,NA,"244785","262375","68420",NA,NA,NA,"3606355","279845",NA,"2.22","2906545","33","30.5"
"030","ARKANSAS","NIMROD LAKE","PERRY YELL","512","IMPOUNDMENT","1771.6","14.57","2.5","24.41","17","13",NA,"0.8","0.039","0.006","0.16",NA,NA,NA,"15","15965","15980",NA,NA,"615","541240",NA,"30565",NA,"1.1","460910","15","37.2"
"031","ARKANSAS","NORFOLK LAKE",NA,NA,"[HPUUNDHENT","4682.7","89.03","17.3","50.2","355","155","256","3.6","0.015","0.005","0.32","0.51","820",NA,"30","20955","21805","2465",NA,"1130",NA,"1664340","27840",NA,"0.24","1442945","13","13.7"
"033","TOMA","LAKE AMUUAGI","MARREN","1901","IMPOUNDMENT","12.8","0.53","3","0.07","263","104","187","0.6","0.062","0.009","0.335","1.12",NA,NA,"100","530",NA,NA,NA,"390","10965","11355",NA,"67","1.02","4290","62","21.4"
"034","TOMA","BIG CREEK RESERVOIR","POLK","1902","IMPOUNDMENT","203.6","3.44","6.7","0.99","269","274","443","1.6","0.046","0.011","6.465","7.185",NA,NA,NA,"1800","7800",NA,NA,NA,"369210","369210","2055","74","2.27","201830","45","107.3"
"035","IOWA","BLACK HARK LAKE","SAC","1903","NATURAL","60.3","3.72","1.7","0.27","271","147","322","0.3","0.185","0.02","0.13","1.715",NA,"66009609",NA,"2010","2035",NA,NA,"905","79585","80690","1635","20","0.55","23995","70","21.6"
"036","IOWA","CLEAR LAKE","CERRO GORDO","1904","NATURAL",NA,"14.14","3",NA,NA,"155","272","0.9","0.059","0.01","0.07","1.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"037","IOWA","LOST ISLAND LAKE","CLAYoPALO ALTO",NA,"NATURAL",NA,"5.1","3","9009090090","909909","178","303","2","0.146","0.021","0.065","2.665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"038","IOWA","LAKE MACRRIDE","JOHNSON",NA,"IMPOUNDMENT",NA,"3034","7.3","0.41","232","125","253","1.1","0.001","0.01","2.035","2.595","1075",NA,NA,"1510","2585","3230",NA,NA,"61650","34330","725","72","0.07","23590","53","16.9"
"039","IOWA","PRAIRIE ROSE LAKE","SHELRY","1908","IMPOUNDMENT","20.4","0.88","3.3","0.08","1.2","166","287","0.9","0.056","0.01","0.21","1.26",NA,NA,NA,"635","635",NA,NA,NA,"14090","14090",NA,"73","0.72","4705","67","16"
"040","IOWA","RATHBUN RESERVOIR","APPANOOSELUCASM0NR0EHAYNE","1909","IMPOUNDMENT","1421.9","44.52","0.7","9.05","1","90","232","0","0.071","0","1.17","1.705","9535",NA,"10",NA,"100055","23705",NA,"425","74900",NA,"19290","2","2.45","5469450","39","20.2"
"041","IOWA","PEO ROCK RESERVOIR","MARION","1910","IMPOUNDMENT","31916.6","36.22","3","126.14","10",NA,"572","0.7","0.16",NA,"1.88","2.86",NA,NA,NA,"2070570",NA,NA,NA,NA,"28901345","30061150","978530","61","68.96",NA,"26","830"
"042","IOWA","ROCK CREEK LAKE",NA,NA,"IMPOUNDMENT","107.2","2.6","2.7","0.57","143","169","333","0.5","0.065","0.007","1.4","2.43",NA,NA,NA,"8125","8125",NA,NA,NA,"93420","92420",NA,"82","3.12","70375","24","35.5"
"043","IOWA","SILVER LAKE","HORTH","1912","NATURAL","8.2","1029",NA,"0.09",NA,"110","159","0.4","0.193","0.034","0.565","0.39",NA,NA,NA,"315","315",NA,"909900",NA,NA,"6990","200","37","0.24","5495",NA,"3.9"
"044","IOWA","SPIRIT LAKE","DICKINSON","1913","NATURAL",NA,"23","5.5",NA,"9909","184","368","2","0.041","0.007","0.09","1.215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9e+07",NA,NA,NA
"045","IOWA","VIKING LAKE","MONTGOMERY","1914","IMPOUNDMENT","10.3","0.61","5.8","0.07","1.6","120","219","1","0.075","0.011","0.13","1.07",NA,NA,NA,"300","300","411111000",NA,NA,NA,NA,"170","43","0.49","2785","37","1.2"
"046","IOWA",NA,"DICKINSON","1915","NATURAL",NA,"14.93",NA,NA,NA,"219","306","3","0.046","0.017","0.06","0.925",NA,"9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"047","ARKANSAS","CEDAR BLUFF RESERVOIR","TREGO","2001","IMPOUNDMENT","14322.7","26.86","8.5","2.7","0.3","119","965","1.1","0.017","0.006","0.055","0.535",NA,NA,"5",NA,NA,NA,NA,"205",NA,"157765","2090","53","0.17","73875",NA,"509"
"048","ARKANSAS","COUNCIL GROVE RESERVOIR","MORRIS","2002","IMPOUNDMENT","647.5","13.27","3.9","3.224","218","155","282","0.4","0.069","0.028","0.83","1.245","585",NA,NA,"26885","27470","1760",NA,NA,"449340",NA,"9010","67","2.07","165745","63","34"
"049","ARKANSAS","ELK CITY RESERVOIR","MONTGOMERY","2003","IMPOUNDMENT","1642.1","17.81","2.4","11.46","45",NA,"269","0.2","0.03","0.003","0.59","0.87","2410",NA,NA,"37280","39690","7230",NA,NA,"546230","553460","21940","45","2.23","405870","27","31.1"
"050","ARKANSAS","FALL RIVER RESERVOIR","GREENHOOD","2004","IMPOUNDMENT","1515.1","10.52","3","10.27",NA,"137","363","0.3","0.053","0.016","0.47","0.65","4120",NA,"5","15250","19375","12350",NA,"215","489805","502370","24695",NA,"1.84","562230",NA,"67.8"
"051","ARKANSAS","JOHN REDMOND RESERVOIR","COFFEY LYON","2005","IMPOUNDMENT","7808.8","38.04","2","40.39","23","159","333","0.2","0.118","0.066","1.25","1.81","84550",NA,NA,"265305","349855","229025",NA,NA,"3693215","3922240",NA,"43","9.2","2480455","37","103.1"
"052","ARKANSAS","KANOPOLIS RESERVOIR","ELLSUORIH","2006","IMPOUNDMENT","20349.6",NA,"4.5","9.622","120","149","1068","0.3","0.056","0.011","0.64","1.21","4665",NA,"15","90740","95620","15205",NA,"495","623495","639195","21020",NA,"6.65","496560","22","44.5"
"053","ARKANSAS","MARION RESERVOIR IEUTRUPRICI","MARION","2007","IMPOUNDMENT","518","26.93","4.1","2.31",NA,"126","432","0.4","0.052","0.01","0.63","1.1","970",NA,NA,"9250","10220","2905",NA,NA,"156720","159625","2850","72",NA,"52510","67","6.4"
"054","ARKANSAS","MELVERN RESERVOIR","OSAGE","2008","IMPOUNDMENT","909.1","28.05","6","6.188","1.1","146","377","1","0.034","0.007","0.265","0.935","310",NA,NA,"21775","22085","935",NA,NA,"503465","504400","8465","62","0.79","355240","30","18"
"055","ARKANSAS","MILFORD RESERVOIR","CLAY GEARY","2009","IMPOUNDMENT","64465610","65051","7.8","276193","235","196","645","0.9","0.079","0.036","0.71","1.2","14030",NA,NA,"414535","428565","43565",NA,NA,"2316050","2359615","48260","89","6.54","1327935","44","36"
"056","ARKANSAS","NORTON RESERVOIR","NORTON","2010","IMPOUNDMENT","1771.6","8.86","5","1.018","1.8","216","475","0.6","0.122","0.036","0.11","1.22","285",NA,NA,"10840","11125","350",NA,NA,"72755","73505","2750","75","1.26","21220","71","8.3"
"057","ARKANSAS","PERRY RESERVOIR","JEFFERSON","2011","IMPOUNDMENT","2893","49.37","3.7","13.52","281","166","371","0.5","0.055","0.017","0.97","1.42","18455",NA,NA,"-83895","102350","31100","60964111696",NA,"739750","116330","24850","76","2.07","515860","34","15.7"
"058","ARKANSAS","POMONA RESERVOIR",NA,"2012","IMPOUNDMENT","834","16.19",NA,"5.333","193","142","327","0.5","0.04","41.021","1.2","1.65",NA,NA,NA,"12630","15875","9230",NA,NA,"360805","370035","13385","16",NA,"316370","15","22.9"
"059","ARKANSAS","TORONTO RESERVOIR","GREENHOOD HOODSON","2013","IMPOUNDMENT","1934.7","11.33","2.5","16.72","22","122","327","0.3","0.067","0.011","0.925","0.675","2290",NA,"15","23300","25605",NA,NA,"565","629325","636765","35960",NA,"2.26","661285",NA,"56.2"
"060","ARKANSAS","TUTTLE CREEK RESERVOIR","MARSHALL POTTARATOMIE RILEY","2014","IMPOUNDMENT","24967.6","63.94","8.2","54.748","139","197","487","0.8","0.162","0.067","0.97","1.46","12570",NA,NA,"1411435",NA,"43220",NA,NA,"7683290","7726510","229125","84","22.28","4192595","46","120.8"
"062","ARKANSAS","MILSON RESERVOIR","RUSSELL","2015","IMPOUNDMENT","4965","36.42","6.4","5.144","2","140","224","1.4","0.023","0.004","0.265","0.035","3795",NA,NA,"13340","17135","11305",NA,NA,"270660","-290045","5065","70","0.47","160140","45","0"
"063","LOUISIANA","ANACOCO LAKE","VERNON","2201","IMPOUNDMENT","538.7","10.52","2.8","7.54","45","14","37","1.1","0.031","0.007","0.08","0.545",NA,NA,"25","6415",NA,NA,NA,"905","162690","163595","7805",NA,"0.61","250740",NA,"15.6"
"065","LOUISIANA","SLACK BAYOU RESERVOIR","rADDD","2204","IMPOUNDMENT","608.6","16.06","1.4","6.94","37","10","167","1.2","0.046","0.009","0.09","0.63","3175",NA,"30","14010","17215","9175",NA,"1120","205810","216105",NA,"7985","54","170090","21","13.5"
"066","LOUISIANA","BLACK LAKE","NATCHITOCHES RED RIVER","2219","NATURAL",NA,NA,"2.6",NA,NA,"10","125","1.2","0.077","0.015","0.15","0.62",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"60606",NA,NA,NA,NA
"067","LOUISIANA","RRUIN LAKE","TENSAS","2202","NATURAL",NA,"9.48","9.1","0","0","92",NA,"1.3",NA,"0.012","0.25","0.78","0","0","0",NA,"0","0","0","0","0","0","0","0",NA,NA,"90900",NA
"068","LOUISIANA","BUNDICK LAKE","REAUREGARO","2205","IMPOUNDMENT","546.5","7.07","1","7.3","15","11","59","0.3",NA,"0.073","0.135","0.82","14275",NA,"5","30745","53025","30320",NA,"20","213615","251955","31130","41","7.5","2640750",NA,"3506"
"069","LOUISIANA","COCODRIE LAKE","CONCORUIA","2207","NATURAL",NA,"3.99","4.9",NA,NA,"56","141","0.5","0.09","0.026","0.4","0.995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60669695656",NA,"900",NA
"070","LOUISIANA","COCODRIE LAKE","RAPIDES","2220","NATURAL","621.4","24.68","0.5","9.66","14","82","162","0.5","0.106","-0.014","0.05","0.82",NA,NA,NA,"14655","14685",NA,NA,"1065","179310","130435","13075","11","0.6","186195",NA,"7.3"
"071","LOUISIANA","LAKE CONCOROIA","CONCORDIA","2209","NATURAL","0","4.25","6.1","0","0","147","297","0.3","0.076","0.009","0.03","0.32","0","0","0","0","0","0","0","0","0","0","0","900","0","0","0","0"
"072","LOUISIANA","COTILE RESERVOIR IMESO","RAPIDES","2208","IMPOUNDMENT",NA,"1025","4.3","1.7","206","14","42","1.5","0.037",NA,"0.1","0.52",NA,NA,"5","3330","3385",NA,NA,"105","32420","32525",NA,NA,"0.47","45175",NA,"4.5"
"073","LOUISIANA","CROSS LAKE","CADDO","2210","IMPOUNDMENT","655.3","35.17","2.7","6.87","180","21","185","0.6","0.057","0.01","0.08","0.83","1770",NA,"105","10200","12075","5670",NA,"3905","156375","165950","11965","1","0.36","167780",NA,"6.6"
"074","LOUISIANA","BAYOU DARHONNE LAKE LMESO","UNION» LINCOLN",NA,"IMPOUNDMENT","4162.1",NA,"2.6","49.79","36","10","88","1.1","0.038","0.011","0.1","0.46","25140",NA,"70","56850","82060","67535",NA,"2660",NA,"1256905","48615",NA,"1.33","1561750",NA,"20.4"
"075","LOUISIANA","FALSE RIVER LAKE","POINTE COUPEE","2212","NATURAL",NA,"11.13","7.1",NA,NA,NA,"235","1.5","0.082","0.023","0.13","0.86",NA,NA,NA,"6666696666","6666666666",NA,NA,NA,"6966966966","6666666666",NA,"96999",NA,NA,NA,NA
"076","LOUISIANA","INDIAN CREEK RESERVOIR","RAPTOES","2213","IMPOUNDMENT","58.3","9.11","3.4","0.81","441","18","39","1.1","0.031","0.01","0.15","0.6",NA,NA,NA,"555","555",NA,NA,"70","18685","18755","1085",NA,"0.06","18030","4","2.1"
"077","LOUISIANA","SALINE LAKF","LASALLE","2214","NATURAL",NA,"7.93","2.1",NA,NA,"14","99","0.2","0.111","0.025","0.35","1.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"078","LOUISIANA","TURKEY CREEK LAKE","FRANKLIN","2215","IMPOUNDMENT","461","12.54","2","5.02","57","26","82","0.6","0.176","0.033","0.17","0.82","3915",NA,"5","43305","67225","8970",NA,"265","238660","247895","29890","37","3.77","202615","18","19.8"
"079","LOUISIANA","LAKE VERRET","ASSUMPTION","2216","NATURAL",NA,"56.98","1.5",NA,NA,"93","253","0.5","0.163","0.056","0.1","1.26","0","9",NA,"9e+05",NA,"0","0","0","0","0","0","0","0","0","0","0"
"080","LOUISIANA","LAKE VERNON","VERNON","2217","IMPOUNDMENT","295.3","17.09","4.1","4.13","197","10","31","1.6","0.018","0.007","0.12","0.62",NA,NA,"20","4150","4170",NA,NA,"695",NA,"100375","2995","23","0.24","73175","27","5.9"
"081","MISSOURI","CLEARHATER LAKE","REYNOLDS uAYNE","2901","IMPOUNDMENT","2325.8","6.6","4.1",NA,"13","98","201",NA,"0.017",NA,"0.15","0.3","1265",NA,"15","6380","7660","3560",NA,"560","782015",NA,"20965",NA,"1.16","973230",NA,NA
"082","MISSOURI","POMME DE TERRE RESERVOIR","POLK HICKORY","2902","IMPOUNDMENT","1592.8","31.65","9.5","11.81","314","120","222","1.3","0.043","0.008","0.275","0.805","7120",NA,"25","13635","20780","17405",NA,"990","588640","607035","126800","39","66","433540",NA,"19.2"
"083","MISSOURI","STOCKTON RESERVOIR",NA,"2903","IMPOUNDMENT","3005.4",NA,"7.3","22.65",NA,NA,"230","1.8","0.022","0.006","0.67","0.985","20700",NA,"5","28590","49295","56575",NA,"215","1734420","1791210","10740","78","0.49","1105085","38","17.8"
"084","MISSOURI","THOMAS HILL RESERVOIR","MACON RANDOLPH","2905","IMPOUNDMENT","300.5","17.01","4.1","2.14","1.2","56","257","0.3","0.082","0.011","1.04","1.55",NA,NA,"5","8530","8535",NA,NA,"215","203465","203660","3700","57",NA,"107770","47","11.4"
"085","MISSOURI","LAKE NAPPAPELLO","WAYNE 9 BUTLER","2900","IMPOUNDMENT","3395.5","10.59","3","30.01","14","0","139","1","0.033","0.004","0.105","0.35","315",NA,"15","31510","31900","1120",NA,"2035","1300125","1310000","52010",NA,"1.93","1520300",NA,"2"
"086","ALASKA","BRANCHED OAK RESERVOIR","LANCASTER","3101","IMPOUNDMENT","214.7","7.28","5.5","0.76","2.8","226","406","1.1","0.044","0.013","0.07","0.86",NA,NA,NA,"5250","5250",NA,NA,NA,"55755","55755","1035","80","0.72","16065","71","7.7"
"087","ALASKA","HARLAN COUNTY RESERVOIR","HARLAN","3102","IMPOUNDMENT","35042.7","54.5","7.8","11.37","1.4","199","475","0.6","0.112","0.061","0.365","1.09","3190",NA,"45","117890","121125","9390",NA,"1600","1033905","1044895","24740",NA,"2.22","349165","67","19.2"
"088","ALASKA","HARRY D STRUNK RES","FRONTIER","3103","IMPOUNDMENT","1657.6","7.59","5.8","20130",NA,"176","335","0.3","0.064","0.009","0.46","1.03","1320",NA,"5","44555","45330","3965",NA,"95","253420","262430","2725","94","6.13","112530","57","35"
"089","ALASKA","HUGH BUTLER RESERVOIR","FRONTIFRcRED HILLOH","3104","IMPOUNDMENT","828.8","6.59","5.9","1.4","1.2","240","314","0.8","0.061","0.014","0.09","0.74",NA,NA,"10","10535","10595",NA,NA,"340","88050","88390","1940",NA,"1.61","48705","45","13.4"
"090","ALASKA","JOHNSON RESERVOIR","DARSONGOSPER","3105","IMPOUNDMENT",NA,"11.53","6.1","33.37","27","177","720","0.6","0.075","0.009","0.34","0.94",NA,NA,"165","77295","77460",NA,NA,"6115","1616795","1622910","52295","32","6.72","1172000","28","140"
"091","ALASKA","CH MCCONAUGHY RES IMESO","KEITH","3108","IMPOUNDMENT","88821.9","141.84","19.8","45.08","2.4","202","859","2.3","0.027","0.004","0.585","0.83","1475",NA,"45","190890","192410","4430",NA,"1825","4218715","4224770","385750","80",NA,"1218105","71","29.8"
"092","ALASKA","PAHNEE RESERVOIR","LANCASTER","3107","IMPOUNDMENT","5.2","2.99","3.7","0.23","2.9","223","304","1.2","0.06","0.02","0.175","1.065",NA,NA,NA,"2190","2190",NA,NA,NA,"16885","16335","555","75","0.73","5560","67","5.6"
"093","ALASKA","SHERMAN RESERVOIR","SHERHAN","3108","IMPOUNDMENT",NA,"11.51","7.3",NA,NA,"105","169","1.2","0.067","0.05","0.09","0.34",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"094","ALASKA","SHANSON RESERVOIR","HITCHCOCK",NA,"IMPOUNDMENT",NA,"20.13","7.3","5.17","1.4","241","457","0.9","0.067","0.016","0.09","0.62","1560",NA,"10","15925","17495","4540",NA,"285","271685","276510","59300","660","87","133805","50","13.7"
"095","DAKOTA","LAKE ASRTAUULA IEUTRDPRIC1","0ARNE5ORIGGS","3001","IMPOUNDMENT","4966.9","21.96","4","3.737","304","260","571","0.7","0.26","0.17","0.16","1.66","1975",NA,"35","30025","32035","5915",NA,"1065","295005","302065","25025","19","1.66","263675","20","13"
"096","DAKOTA","AUDUBON LAKE","MCLEAN","3802","IMPOUNDMENT",NA,"48.56",NA,NA,NA,"400","1211","1.4","0.087","0.015","0.22","1.795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"097","DAKOTA","BRUSH LAKE","MCLEAN","3803","NATURAL",NA,"0.81","2.5",NA,NA,"400","856","1.3","0.066","0.01","0.095","1.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"098","DAKOTA","LAKF DARLING","RENVILLEoHARD","3804","IMPOUNDMENT","8417.5","40.06","3.4","3.274","1.4","210","540","0.8","0.274","0.18","0.25","1.56","6666666666","6666666666","6666666666","19090","19090","6666666666","6666666666","6666666666","245400","245400","10720","44","0.48","163400","33","6.1"
"099","DAKOTA","DEVILS LAKE","BENSONoRAHSEY","3805","NATURAL",NA,"48","2.5",NA,NA,"448","3685","1.3","0.63","0.469","0.14","3",NA,NA,"6666949646",NA,NA,NA,"460006666","9646596509",NA,NA,"6949469690","90909",NA,NA,NA,NA
"100","DAKOYA",NA,NA,"3806","IMPOUNDMENT","1952.5","4.86","7.5","0.74",NA,"226","485","1.6",NA,"0.078","0.365",NA,NA,NA,"15",NA,NA,NA,NA,"640","49830",NA,"4570",NA,"92","348750","31",NA
"101","DAKOTA","LAKE LAMOURE","LAMOURE","3807","IMPOUNDMENT","357.4","2000","5","0.182",NA,"269","608","2","0.438","0.29","0.38","2.09",NA,NA,NA,"2690","2690",NA,NA,NA,"10345",NA,"1580","41","1.34","9040","13","5.2"
